Flight No.,Date and time (UTC),"Version, booster[h]",Launch site,Payload[i],Payload mass,Orbit,Customer,Launch outcome,Booster landing,source_table
437,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 26th time, new record.",2
438,"February 18, 2025 23:21[491]",F9 B5 B1080‑16,"Cape Canaveral, SLC‑40",Starlink: Group 10-12 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),2
438,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster landing in waters belonging to another nation (Exuma Sound) as part of an agreement with The Bahamas.,2
439,"February 21, 2025 15:19",F9 B5 B1076‑21,"Cape Canaveral, SLC‑40",Starlink: Group 12-14 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),2
439,"Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",2
440,"February 23, 2025 01:38",F9 B5 B1082‑11,"Vandenberg, SLC‑4E",Starlink: Group 15-1 (22 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY),2
440,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 70° inclination orbit to expand internet constellation.,2
441,"February 27, 2025 00:16[492]",F9 B5 B1083‑9,"Kennedy, LC‑39A[493]","IM-2 Nova-C ""Athena"" lunar lander Lunar Trailblazer Brokkr-2 Odin[494] Chimera-1 TBD",Unknown,TLI,NASA (CLPS) Intuitive Machines AstroForge Epic Aerospace TBD,Success,Success (ASOG),2
441,"IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.","IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.","IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.","IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.","IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.","IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.","IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.","IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.","IM-2 South Pole Mission, flying the second Nova-C lunar lander.[495] The Polar Resources Ice Mining Experiment 1 (PRIME-1) payload will be delivered to the lunar south pole near Shackleton Crater for the CLPS program.[496] Odin will travel to near Earth asteroid 2022 OB5. Two Geostationary satellites are undisclosed. 100th booster landing on ASOG.",2
442,"February 27, 2025 03:34",F9 B5 B1092‑1[497],"Cape Canaveral, SLC‑40",Starlink: Group 12-13 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),2
442,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. There is some uncertainty on whether booster B1092 was used or a different booster was used[497] but according to SpaceX it was the booster's first flight.[498]",2
